Teks,label
penetapan rekanan prose kompetitif komisi % nilai kerjasama gunakan perusahaan afiliasi,1
meet hotel kontak via aplikasi amankomunikasi rahasia,1
penggunaan fasilita kantor sesuai peraturan berlaku untuk kepentingan pekerjaan semata,0
pengajuan cuti tahunan dilakukan minim hari tanggal cuti melalui sistem hr telah disediakan,0
tender proyek; pengadaan pemerintahproyek konstruksi,1
peluang tender proyek pemerintah bisa diatur butuh 'jembatan' sebesar % nilai proyek dana via multipl transfer,1
"sebesar rp juta, kemudian senilai juta% nilai",1
workshop innov think diadakan semua level karyawan meningkatkan kreativita bekerja,0
fee % - komisi rp jutadengan imbalan %,1
pengadaan; pembelianprocurementpengembangan,1
"sistem absensi digit aktif, harap semua karyawan melakukan absen melalui aplikasi mobil telah disediakan",0
jaminan bukti; prose rahasiatransaksi aman,1
tender dimenangkan prose lancarsupaya bonu besar,1
penggunaan fasilita kantor usaha pribadi cukup bayar fee % omzet bulanan perlu laporan resmi,1
"program mentor karyawan junior dibuka, pendaftaran dilakukan melalui portal pengembangan karir",0
"updat sistem erp dilakukan akhir pekan ini, harap backup data pent prose updat dimulai",0
laporan keuangan triwulan menunjukkan pertumbuhan stabil peningkatan pendapatan sebesar % dibandingkan period sebelumnya,0
pengajuan reimburs disertai invoic asli telah mendapat approv atasan langsung,0
"updat sistem erp dilakukan akhir pekan ini, harap backup data pent prose updat dimulai",0
"pembagian tuga proyek baru ditetapkan, detailnya dilihat dashboard project manag",0
pelatihan soft skill karyawan baru dilaksanakan minggu depan materi komunikasi efektif teamwork,0
rapat koordinasi tim diadakan besok pukul wib ruang meet lantai membaha progress proyek terkini,0
"pemeliharaan rutin server dilakukan hari sabtu pukul - wib, harap simpan semua pekerjaan waktu tersebut",0
buat laporan fiktif selanjutnya siapkan invoic palsudokumen pendukung palsu,1
audit intern dilakukan bulan depan memastikan complianc standar operasion perusahaan,0
"evaluasi kinerja kuartalan dimulai bulan depan, pastikan semua target pencapaian didokumentasikan baik",0
"kebijakan baru mengenai busi travel diterbitkan, termasuk ketentuan akomodasi transportasi",0
perubahan dokumen kontrak keuntungan bersama fee negoti -% nilai tambahan komunikasi via ponsel kedua,1
rapat koordinasi tim diadakan besok pukul wib ruang meet lantai membaha progress proyek terkini,0
laporan keuangan triwulan menunjukkan pertumbuhan stabil peningkatan pendapatan sebesar % dibandingkan period sebelumnya,0
"sistem absensi digit aktif, harap semua karyawan melakukan absen melalui aplikasi mobil telah disediakan",0
"transaksi reken offshore, kemudian pembayaran transfer bertahapvia aplikasi encrypt",1
pengadaan - pembelianprocurementpengembangan,1
tender proyek pengadaan pemerintahproyek konstruksi,1
fee %; komisi rp jutadengan imbalan %,1
buat laporan fiktif siapkan invoic palsudokumen pendukung palsu,1
"pembagian tuga proyek baru ditetapkan, detailnya dilihat dashboard project manag",0
"pemeliharaan rutin server dilakukan hari sabtu pukul - wib, harap simpan semua pekerjaan waktu tersebut",0
sebesar rp juta senilai juta% nilai,1
pengajuan reimburs disertai invoic asli telah mendapat approv atasan langsung,0
"buat laporan fiktif, kemudian siapkan invoic palsudokumen pendukung palsu",1
pemeriksaan kesehatan karyawan rutin tahunan dilakukan bekerjasama rumah sakit mitra perusahaan,0
% harga asli juta nilai sebenarnyarp juta lebih tinggi,1
train technic skill divisi it dilaksanakan selama hari instruktur vendor ternama,0
"pemeliharaan rutin server dilakukan hari sabtu pukul - wib, harap simpan semua pekerjaan waktu tersebut",0
acara gather perusahaan diadakan akhir bulan dengan tema 'synergi for better future',0
penggunaan fasilita kantor sesuai peraturan berlaku untuk kepentingan pekerjaan semata,0
audit intern dilakukan bulan depan memastikan complianc standar operasion perusahaan,0
tender proyek - pengadaan pemerintahproyek konstruksi,1
tender dimenangkan selanjutnya prose lancarsupaya posisi aman,1
transaksi via cryptocurr - pembayaran melalui reken perusahaan shelltransf reken digit,1
"updat sistem erp dilakukan akhir pekan ini, harap backup data pent prose updat dimulai",0
"proyek infrastruktur desa dialokasikan kepentingan pribadi sudah siapkan dokumen pendukung hanya perlu tanda tangan, komisi %",1
train technic skill divisi it dilaksanakan selama hari instruktur vendor ternama,0
manipulasi hasil lelang proyek membutuhkan kolaborasi fee % anda 'konsultan' pembayaran via offshor account,1
"transaksi via cryptocurrency, kemudian pembayaran melalui reken ata nama orang laintransf reken luar negeri",1
pengumuman promosi jabatan dikeluarkan minggu depan berdasarkan hasil assess performa kerja,0
kasu ditutup - audit bersihsupaya bonu besar,1
laporan keuangan triwulan menunjukkan pertumbuhan stabil peningkatan pendapatan sebesar % dibandingkan period sebelumnya,0
pelatihan soft skill karyawan baru dilaksanakan minggu depan materi komunikasi efektif teamwork,0
pelatihan soft skill karyawan baru dilaksanakan minggu depan materi komunikasi efektif teamwork,0
perlu 'uang pengamanan' - butuh biaya 'lubang'kompensasi khusu,1
pengajuan reimburs disertai invoic asli telah mendapat approv atasan langsung,0
tender dimenangkan senilai rp jutadengan nilai juta,1
penyalahgunaan wewenang kepentingan keluarga bisa bantu fee % nilai proyek,1
pengadaan; pembelianprocurementpengembangan,1
laporan keuangan triwulan menunjukkan pertumbuhan stabil peningkatan pendapatan sebesar % dibandingkan period sebelumnya,0
sebesar rp juta senilai juta% nilai,1
acara gather perusahaan diadakan akhir bulan dengan tema 'synergi for better future',0
pelatihan soft skill karyawan baru dilaksanakan minggu depan materi komunikasi efektif teamwork,0
pengadaan selanjutnya pembelianprocurementpengembangan,1
pengajuan reimburs disertai invoic asli telah mendapat approv atasan langsung,0
% harga asli - juta nilai sebenarnyarp juta lebih tinggi,1
program subsidi bisa dimanfaatkan grup tertentu komisi % total subsidi gunakan reken ata nama orang,1
pengadaan; pembelianprocurementpengembangan,1
laporan keuangan triwulan menunjukkan pertumbuhan stabil peningkatan pendapatan sebesar % dibandingkan period sebelumnya,0
penggunaan fasilita kantor sesuai peraturan berlaku untuk kepentingan pekerjaan semata,0
transaksi transfer digit pembayaran tunai tempatvia platform privat,1
"kebijakan baru mengenai busi travel diterbitkan, termasuk ketentuan akomodasi transportasi",0
rapat koordinasi tim diadakan besok pukul wib ruang meet lantai membaha progress proyek terkini,0
perlu 'uang pengamanan' butuh biaya 'lubang'kompensasi khusu,1
workshop innov think diadakan semua level karyawan meningkatkan kreativita bekerja,0
"pembagian tuga proyek baru ditetapkan, detailnya dilihat dashboard project manag",0
pengadaan - pembelianprocurementpengembangan,1
